MICROPROCESSOR AND ITS APPLICATION,1,3,1,B THEAGARAJ,CS226,1ST,394,NEW AGE INTERNATIONAL,now(),0000-00-00 00:00:00
MICROPROCESSOR LAB MANUAL,1,3,1,A V KRISHNA MOHAN,CS227,1ST,173,TECH EDUCATION,now(),0000-00-00 00:00:00
ADVANCED MICROPROCESSOR,1,7,1,DAVIEL TABAK,CS228,2ND,503,MCGRAW,now(),0000-00-00 00:00:00
SYSTEM SOFTWARE,1,5,1,LELAND L BECK,CS229,3RD,495,PEARSON,now(),0000-00-00 00:00:00
SYSTEM SOFTWARE,1,5,1,LELAND L BECK,CS233,3RD,529,PEARSON,now(),0000-00-00 00:00:00
SYSTEM SOFTWARE,1,5,1,A A PUNTAMBEKAR,CS234,1ST,,TECHNICAL PUBLICATIONS,now(),0000-00-00 00:00:00
SYSTEM SOFTWARE,1,5,1,A A PUNTAMBEKAR,CS235,1ST,,TECHNICAL,now(),0000-00-00 00:00:00
LEX AND YACC,1,5,1,JOBN R LEVINE,CS236,1ST,,SHORFF,now(),0000-00-00 00:00:00
SOFTWARE ENGINEERING,1,3,1,A A PUNTAMBEKAR,CS239,1ST,,TECHNICAL PUBLICATIONS,now(),0000-00-00 00:00:00
SOFTWARE ENGINEERING,1,3,1,A A PUNTAMBEKAR,CS240,1ST,,PEARSON,now(),0000-00-00 00:00:00
SYSTEM SOFTWARE,1,3,1,LELAND L BECK,CS241,3RD,495,UNIVERSITY SCIENCE PRESS,now(),0000-00-00 00:00:00
FUNDAMENTAL OF DATA STRUCTURE,1,3,1,HOROWITZ AND SAHNI,CS242,2ND,615,UNIVERSITY SCIENCE PRESS,now(),0000-00-00 00:00:00
DATA STRUCTURE,1,3,1,RICHARD F GILLORG & BEHROUS A FOROUZEN,CS246,2ND,720,,now(),0000-00-00 00:00:00
DATA STRUCTURE USING C AND C++,1,3,1,YEDIDYAH LANGSON,CS247,2ND,661,PEARSON,now(),0000-00-00 00:00:00
DATA STRUCTURE WITH C,1,3,1,NANDAN GOPALANS,CS248,1ST,509,,now(),0000-00-00 00:00:00
FUNDAMENTAL OF DATA STRUCTURE IN C++,1,3,1,ELLIS  HOROWITZ,CS249,1ST,653,SUNNEL GALGOTIA,now(),0000-00-00 00:00:00
PROGRAMMING AND DATA STRUCTURE,1,3,1,S K CHANDHA,CS250,1ST,788,MR.USHA RAJKUMAR,now(),0000-00-00 00:00:00
SYSTEMATIC APPROCH TO DATA STRUCTURE USING C ,1,3,1,A M PADMAREDDY,CS251,1ST,,,now(),0000-00-00 00:00:00
DATA STRUCTURE USING C AND C++,1,3,1,YEDIDYAH LANGSON,CS252,1ST,671,ASHOK K GOSH,now(),0000-00-00 00:00:00
DATA STRUCTURE AND ALGORITHMS IN C++,1,3,1,MICHAEL T GOODRICH,CS253,1ST,683,WILLEY INDIA,now(),0000-00-00 00:00:00
DATA STRUCTURE USING C AND C++,1,3,1,AARON M TENENBAUM,CS254,1ST,659,ESTERN ECHONOMY,now(),0000-00-00 00:00:00
COMPUTER SCIENCE A STRUCTURED PROGRAMMING APPROCH USING C,1,3,1,FOROUZAL,CS255,1ST,1151,,now(),0000-00-00 00:00:00
INTRODUCTION TO DATA STRUCTURE USING C,1,3,1,VENKATESH N BAITIPULI,CS256,1ST,650,UNIVERSITY SCIENCE PRESS,now(),0000-00-00 00:00:00
C AND DATA STRUCTURE ,1,3,1,VV MUNISWAMY,CS257,1ST,441,KRISHNAN MAKHIJANI,now(),0000-00-00 00:00:00
PROGRAMMING WITH C &  DATA STRUCTURE,1,3,1,R S BICHKAR,CS258,1ST,527,UNIVERSITY SCIENCE PRESS,now(),0000-00-00 00:00:00
DATA STRUCTURES USING  C & C++,1,3,1,YEDIDYAH LANGSON,CS259,2ND,560,PEARSON,now(),0000-00-00 00:00:00
DATA STRUCTURE WITH C,1,3,1,A A PUTEMBEKAR,CS260,1ST,340,TECHNICAL PUBLICATIONS,now(),0000-00-00 00:00:00
PROGRAMMING IN C & DATA STRUCTURE,1,3,1,CHANDRAKANT NAYKODI,CS261,,266,,now(),0000-00-00 00:00:00
DATA STRUCTURE WITH C,1,3,1,ADICHERLA MALLESH,CS262,1ST,,PROFESSIONAL PUBLCATION,now(),0000-00-00 00:00:00
INTRODUCTION TO THE DESIGN & ANALYSIS OF ALGORITHMS,1,4,1,ANANY LEVITIN,CS263,1ST,427,PEARSON,now(),0000-00-00 00:00:00
INTRODUCTION TO THE DESIGN & ANALYSIS OF ALGORITHMS,1,4,1,ANANY LEVITIN,CS264,1ST,2427,PEARSON,now(),0000-00-00 00:00:00
INTRODUCTION TO THE DESIGN & ANALYSIS OF ALGORITHMS,1,4,1,ANANY LEVITIN,CS265,1ST,497,PEARSON,now(),0000-00-00 00:00:00
INTRODUCTION TO THE DESIGN & ANALYSIS OF ALGORITHMS,1,4,1,ANANY LEVITIN,CS266,2ND,497,PEARSON,now(),0000-00-00 00:00:00
INTRODUCTION TO THE DESIGN & ANALYSIS OF ALGORITHMS,1,4,1,ANANY LEVITIN,CS268,2ND,524,PEARSON,now(),0000-00-00 00:00:00
